SYMBOL,LAST,CLOSE,TREND,MOVING TREND,10 DAY TWEE, 100 DAY TWEE
NEOT,2018-01-17,1.94,0.44,-0.05,2.38,58.93
NEXA,2018-01-23,20.85,0.52,0.71,5.2,63.93
NFX,2018-01-23,34.34,0.07,-0.06,2.55,7.3
NKE,2018-01-23,67.32,0.16,0.04,4.3,17.45
NLY,2018-01-23,11.27,-0.04,0.03,-2.13,-4.01
NOK,2018-01-23,4.93,-0.1,-0.04,N/A,N/A
NOW,2018-01-23,144.99,0.25,0.16,5.9,28.61
NRZ,2018-01-23,17.53,0.03,0.06,-0.95,2.71
NTCT,2018-01-23,26.5,-0.17,-0.03,-8.26,-19.24
NVCN,2018-01-23,0.72,-0.39,-0.24,18.1,-19.29
NVDA,2018-01-23,239.83,0.38,0.35,9.8,50.49
ODFL,2018-01-23,150.0,0.35,0.19,6.83,38.58
OMC,2018-01-23,76.26,-0.0,-0.05,1.87,0.51
ONCE,2018-01-23,59.62,-0.11,0.05,10.61,0.08
OPGN,2018-01-23,4.43,-0.62,-0.45,-6.63,-49.75
ORCL,2018-01-23,51.11,0.06,0.06,3.12,8.56
ORLY,2018-01-23,272.31,0.16,-0.02,4.39,16.13
OSB,2018-01-23,35.77,0.06,0.11,N/A,N/A
PAG,2018-01-23,53.59,0.14,0.03,4.11,39.55
PBH,2018-01-23,45.5,-0.07,-0.05,0.5,-5.43
PBR,2018-01-23,12.08,0.21,0.07,6.1,22.44
PBYI,2018-01-23,94.85,0.03,0.26,-2.14,10.51
PDCE,2018-01-23,56.93,0.12,-0.07,6.93,26.84
PDCO,2018-01-23,37.14,-0.06,-0.07,-0.27,-5.81
PEN,2018-01-23,96.6,0.06,0.13,4.0,11.19
PFE,2018-01-23,37.08,0.05,0.03,0.53,5.27
PKX,2018-01-23,89.28,0.24,0.14,3.58,25.22
PLNT,2018-01-23,34.19,0.25,0.18,N/A,N/A
POR,2018-01-23,42.68,-0.08,0.03,-3.43,5.09
POWI,2018-01-23,77.9,0.06,0.08,0.02,5.93
PRTA,2018-01-23,44.29,-0.16,-0.05,10.79,-5.9
PSTG,2018-01-23,18.67,0.23,0.12,8.45,28.97
PTEN,2018-01-23,24.73,0.15,-0.0,3.35,14.91
PTLA,2018-01-23,50.15,0.02,0.17,-2.46,5.28
PULM,2018-01-23,1.48,-0.27,-0.18,-7.48,-24.7
PYPL,2018-01-23,84.55,0.31,0.22,5.54,35.13
QCOM,2018-01-23,68.89,0.15,0.03,2.88,15.19
QEP,2018-01-23,11.13,0.06,-0.16,5.07,8.87
QQQ,2018-01-23,169.61,0.15,0.09,4.17,17.39
RAD,2018-01-23,2.34,-0.2,-0.37,6.29,117.72
RF,2018-01-23,19.46,0.26,0.12,7.75,30.22
RGA,2018-01-23,163.96,0.15,0.12,1.32,14.83
RGC,2018-01-23,22.97,0.16,-0.01,83.61,93.15
RIG,2018-01-23,11.95,0.13,-0.03,3.82,13.53
RL,2018-01-23,115.56,0.26,0.03,8.11,29.03
RMD,2018-01-23,104.75,0.32,0.1,22.61,49.14
RNVA,2018-01-23,0.02,-0.99,-0.7,-44.37,-96.88
ROKA,2018-01-19,0.65,-0.7,-0.57,N/A,N/A
RRC,2018-01-23,17.21,-0.19,-0.22,1.52,-15.06
RUSHA,2018-01-23,53.5,0.21,0.2,2.15,23.82
RUSHB,2018-01-23,51.02,0.22,0.2,1.83,24.1
RVNC,2018-01-23,34.9,0.28,0.18,1.56,29.17
SAGE,2018-01-23,176.2,0.79,0.38,6.5,90.44
SAN,2018-01-23,7.37,0.13,0.08,5.01,16.47
SBUX,2018-01-23,61.79,0.07,0.01,2.78,8.09
SC,2018-01-23,18.55,0.19,0.11,0.18,18.14
SCG,2018-01-23,43.97,-0.19,-0.15,0.58,-15.79
SE,2018-01-23,13.56,-0.13,-0.09,14.46,454.82
SGEN,2018-01-23,57.91,0.01,0.01,6.29,6.11
SGMS,2018-01-23,56.45,0.41,0.45,4.81,54.53
SHOP,2018-01-23,120.0,0.24,0.27,6.79,33.56
SID,2018-01-23,3.23,0.17,-0.01,5.83,116.64
SIR,2018-01-23,23.76,-0.03,-0.0,-0.8,-3.12
SIRI,2018-01-23,5.65,0.05,0.07,1.87,6.39
SIVB,2018-01-23,262.66,0.3,0.17,N/A,N/A
SKLN,2018-01-23,0.93,-0.55,-0.52,N/A,N/A
SKT,2018-01-23,26.16,-0.03,-0.1,2.63,-1.12
SLB,2018-01-23,80.35,0.15,-0.04,8.52,18.33
SLM,2018-01-23,11.15,0.01,0.06,-3.24,-0.16
SM,2018-01-23,26.93,0.24,-0.08,7.13,26.54
SNAP,2018-01-23,14.66,-0.13,-0.16,1.63,-4.69
SOHU,2018-01-23,44.81,-0.1,0.05,-2.37,-8.52
SPG,2018-01-23,169.28,0.01,-0.04,1.39,1.77
SQ,2018-01-23,45.67,0.48,0.37,11.7,64.58
SRC,2018-01-23,8.57,-0.03,-0.08,4.24,1217.61
SSNC,2018-01-23,50.44,0.26,0.09,8.58,29.88
STX,2018-01-23,54.11,0.35,0.03,12.43,40.79
SUPN,2018-01-23,46.0,0.18,0.17,3.46,21.03
SWN,2018-01-23,5.51,-0.17,-0.2,1.31,14.4
SYK,2018-01-23,163.64,0.12,0.09,2.4,12.92
T,2018-01-23,38.22,0.01,-0.02,1.71,36.38
TAL,2018-01-23,29.0,0.07,0.31,-5.84,9.39
TELL,2018-01-23,11.9,0.13,0.16,4.56,21.18
TEN,2018-01-23,59.78,0.01,0.01,-3.18,-1.67
TEVA,2018-01-23,21.22,-0.07,-0.29,5.32,0.53
TGT,2018-01-23,78.68,0.27,0.0,8.71,28.74
TI,2018-01-23,9.2,0.02,-0.02,3.01,38.36
TIVO,2018-01-23,14.9,-0.16,-0.05,61.97,44.04
TKC,2018-01-23,11.29,0.23,0.06,13.13,32.64
TMO,2018-01-23,217.22,0.18,0.09,5.71,20.44
TOL,2018-01-23,52.64,0.23,0.15,3.19,24.17
TREE,2018-01-23,398.4,0.6,0.42,10.17,75.68
TRMB,2018-01-23,44.95,0.16,0.13,4.01,18.68
TROX,2018-01-23,22.09,0.07,0.24,2.66,14.69
TRU,2018-01-23,59.87,0.23,0.18,4.17,25.93
TRVG,2018-01-23,7.97,-0.32,-0.17,5.04,-23.89
TSRO,2018-01-23,74.78,-0.32,-0.09,3.07,-23.59
TTWO,2018-01-23,118.92,0.25,0.3,2.19,30.27
TV,2018-01-23,20.55,-0.09,-0.08,4.7,-4.79
TWOU,2018-01-23,75.75,0.36,0.23,10.76,45.13
TWTR,2018-01-23,23.17,0.16,0.08,-4.76,10.95
TWX,2018-01-23,94.1,-0.02,0.02,1.53,20.94
UGAZ,2018-01-23,87.53,-0.42,-0.53,15.51,-17.95
UNFI,2018-01-23,49.27,0.13,0.03,0.92,12.73
VALE,2018-01-23,12.82,0.23,0.17,-1.15,21.4
VER,2018-01-23,7.48,-0.09,-0.05,N/A,N/A
VIA,2018-01-23,39.3,0.04,-0.09,5.8,111.85
VIAB,2018-01-23,34.01,0.06,-0.12,5.8,9.23
VIPS,2018-01-23,16.16,0.45,-0.07,17.07,52.48
VIRT,2018-01-23,18.95,0.11,0.0,2.07,138.14
VKTX,2018-01-23,4.93,0.94,0.44,N/A,N/A
VMW,2018-01-23,138.12,0.26,0.18,4.46,28.39
VNTR,2018-01-23,23.95,0.26,0.27,N/A,N/A
VRTX,2018-01-23,167.31,0.19,0.15,7.82,26.1
VRX,2018-01-23,22.86,0.26,-0.12,2.93,32.39
VST,2018-01-23,19.45,0.09,-0.01,N/A,N/A
VZ,2018-01-23,54.5,0.1,0.01,4.21,11.97
W,2018-01-23,89.43,0.29,0.2,5.59,34.5
WBA,2018-01-23,77.05,0.0,-0.05,2.38,1.52
WFC,2018-01-23,64.85,0.15,0.05,3.24,15.62
WFT,2018-01-23,4.41,0.01,-0.16,9.1,7.07
WLL,2018-01-23,31.45,0.15,-0.16,9.06,21.02
WPPGY,2017-11-27,84.83,-0.14,-0.08,-1.02,-12.97
WPX,2018-01-23,15.56,0.27,0.06,7.11,29.61
WUBA,2018-01-23,83.5,0.34,0.22,5.63,39.33
WWE,2018-01-23,33.53,0.33,0.16,3.39,32.86
X,2018-01-23,40.4,0.38,0.12,7.05,40.74
XOM,2018-01-23,88.46,0.06,-0.0,2.07,6.61
XON,2018-01-23,14.09,-0.24,-0.21,10.75,6.55
YERR,2018-01-23,6.37,-0.48,0.28,-24.7,-45.76
YRD,2018-01-23,39.87,0.05,0.25,-4.81,6.36
YUMC,2018-01-23,48.05,0.24,0.12,8.22,32.98
YY,2018-01-23,137.46,0.55,0.33,6.09,61.93
ZAIS,2018-01-23,4.06,0.23,0.11,2.25,27.54
ZG,2018-01-23,43.45,0.05,0.06,0.23,5.53
ZNH,2018-01-23,56.41,0.36,0.15,3.5,36.32
ZSAN,2018-01-23,0.49,-0.51,-0.33,-13.59,-46.87
